,block_number,block_slot,block_time,validator_index,withdrawal_amount,withdrawal_recipient
154,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112642,0.017664764,0xea7d82ce184571773a7997871a6997cce470b079
155,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112641,0.055154459,0xea7d82ce184571773a7997871a6997cce470b079
156,19237857,8435908,2024-02-16 03:41:59.000 UTC,1104177,0.017672554,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
157,19237831,8435882,2024-02-16 03:36:47.000 UTC,1103761,0.017620752,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
158,19237831,8435882,2024-02-16 03:36:47.000 UTC,1103760,0.017660914,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
159,19237436,8435484,2024-02-16 02:17:11.000 UTC,1097377,0.01759821,0x19690e89ba103414bfcb944e2fb47ba2ed24be0c
160,19237018,8435063,2024-02-16 00:52:59.000 UTC,1090341,0.017517312,0xe3c44d4d25172ef2e0cdb9e09189a8ca4ed878f4
161,19237018,8435063,2024-02-16 00:52:59.000 UTC,1090342,0.017528047,0xe3c44d4d25172ef2e0cdb9e09189a8ca4ed878f4
162,19237018,8435063,2024-02-16 00:52:59.000 UTC,1090343,0.017578044,0xe3c44d4d25172ef2e0cdb9e09189a8ca4ed878f4
163,19237018,8435063,2024-02-16 00:52:59.000 UTC,1090344,0.017565421,0xe3c44d4d25172ef2e0cdb9e09189a8ca4ed878f4
164,19236927,8434972,2024-02-16 00:34:47.000 UTC,1088735,0.017689577,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
165,19236927,8434972,2024-02-16 00:34:47.000 UTC,1088734,0.017678512,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
166,19236927,8434972,2024-02-16 00:34:47.000 UTC,1088736,0.017661252,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
167,19236630,8434669,2024-02-15 23:34:11.000 UTC,1083861,0.01765303,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
168,19236630,8434669,2024-02-15 23:34:11.000 UTC,1083860,0.017681374,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
169,19236630,8434669,2024-02-15 23:34:11.000 UTC,1083859,0.017630529,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
170,19236630,8434669,2024-02-15 23:34:11.000 UTC,1083858,0.017657225,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
171,19236557,8434596,2024-02-15 23:19:35.000 UTC,1082685,0.01771506,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
